#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d20.000 5 120 0 0 0 20 0.00146296052030196 31.0594540024736 7900.09862951505 1774.70384202236 0.0565420565356303 0.0428722373379215 0.16398122270868 0.0910279445296212 0.81640486638057 0.00692005416667567 0.493795741702388 0.515585130488037 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d20.000 5 121 0 0 0 20 0.00143098681518298 31.2803987608255 7762.15012562328 1776.0203021454 0.0561116728435553 0.0424376448907916 0.164085378966067 0.0910692794108301 0.816305970058375 0.0072009630175476 0.502733626496433 0.524072181195293 1 4.65175731857173e-005 
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d50.000 5 120 0 0 0 50 0.00213088216258025 27.9179406365886 11988.8174478892 1756.04712326003 0.0650905986879652 0.0511165823746653 0.162561778115471 0.0901830393101822 0.817721863367958 0.00540073375495518 0.419585477308282 0.44553194390195 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d50.000 5 121 0 0 0 50 0.00207185936827921 28.1147156031346 11710.9317005032 1757.21077449455 0.0643688467110591 0.0504418417774563 0.16264250687293 0.0902508507228143 0.817649109252106 0.0053768136377451 0.42270112256396 0.448475358737773 1 4.65175731857173e-005 
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d100.000 5 120 0 0 0 100 0.00306746919984436 25.7685591832751 17735.72081974 1743.42057160688 0.0757059058329061 0.0608272009079523 0.161782098325869 0.0893850457113462 0.818409251919103 0.00668931973904278 0.398164501196307 0.424967354914755 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d100.000 5 121 0 0 0 100 0.00296285509095332 25.9488497875116 17214.2769025099 1744.47218636894 0.0745952490133825 0.0598220956809849 0.161840879261711 0.0894523639304848 0.818358178270667 0.00655319130120332 0.399024175157829 0.42582042337536 1 4.65175731857173e-005 
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d200.000 5 120 0 0 0 200 0.00470692253780131 23.7971039375551 27806.1614383413 1732.06400269389 0.0912189651742846 0.0747865397339849 0.161165979295643 0.0887795039119493 0.81895582255414 0.00853656292514965 0.394675490659594 0.421053063107742 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d200.000 5 121 0 0 0 200 0.00452786902277082 23.9623114687265 26891.6854146951 1733.00368046859 0.0896723170414696 0.0733961861374128 0.161217993252571 0.088819896659474 0.818908495214988 0.00839262355640243 0.394449990937718 0.420891889953129 1 4.65175731857173e-005 
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d500.000 5 120 0 0 0 500 0.00851091240791485 21.4393611610214 51185.6972460629 1719.01309511728 0.118781737326501 0.0996746060038236 0.160317749621117 0.0884695124431692 0.819765546179916 0.0106406991923458 0.406371293153666 0.431325512119285 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d500.000 5 121 0 0 0 500 0.00819160959853187 21.5865766605435 49560.4132329403 1719.80442890531 0.116762819034323 0.0978410281381231 0.160375508046629 0.0884744277702285 0.819708655630955 0.0105344108024806 0.405142818174445 0.430204043195182 1 4.65175731857173e-005 
00003456.nii_L_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d1000.000 5 120 0 0 0 1000 0.0130061324993507 19.8266164571802 78820.613460305 1710.63125028057 0.143728228615625 0.122475974382296 0.159716990667056 0.0886387423961169 0.820381066316585 0.0111487576434222 0.447349379469554 0.469977533849735 1 4.68309806986127e-005 
00003456.nii_L_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d1000.000 5 121 0 0 0 1000 0.0125538105686439 19.9615539848851 76557.9593368799 1711.31060673075 0.141457437274813 0.120387995090642 0.1597577367995 0.0886021578215294 0.82033660652808 0.0112255230011458 0.440506747363496 0.463445245461754 1 4.65175731857173e-005 
