#fname degree numKnot L1 L2 L3 L4 MSE traceH AIC AIC0 GCV GCV2 cv_avr cv_stdev cv_error ts_avr ts_stdev ts_error sigma0 sigma_opt
00002715.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 120 0 0 0 0.002 0.000121851394975596 90.1069622336631 -147.275699336783 2078.9788745258 0.354849418771057 0.0163043505786172 0.205744744737898 0.140180318921528 0.782214069989186 -0.0311920300227363 2.38692599905021 2.39419429541591 1 9.51003933996894e-005 
00002715.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.002 5 121 0 0 0 0.002 0.0001176698283583 90.800535696239 -152.428679892786 2083.13914864417 0.458668157247314 0.0160811973010002 0.206112206313399 0.141785985761886 0.782142039282891 -0.00232253247456716 2.08622293739898 2.09216317949234 1 9.13432472633322e-005 
00002715.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 120 0 0 0 0.005 0.000172908565715417 81.7462806535339 -47.6512324596372 2028.82902999566 0.10866636069662 0.018598899879808 0.199007106836716 0.12928214597039 0.786979991402586 0.089473054532404 1.80320748785053 1.80440580585713 1 9.51003933996894e-005 
00002715.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.005 5 121 0 0 0 0.005 0.000167631806964261 82.3690549334922 -50.4130485505657 2032.56420345972 0.113263320039055 0.0183709049403917 0.19950373015317 0.130378083132847 0.786671010643981 0.0456502198462724 1.7967864374151 1.80012436150866 1 9.13432472633322e-005 
00002715.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 120 0 0 0 0.01 0.00022204620369536 75.6676658435434 60.0342215303556 1992.37105053671 0.0799553578630277 0.0204465214914811 0.194389650725861 0.122475136822302 0.790451812951797 0.125746517946253 1.80358559802092 1.80382645452665 1 9.51003933996894e-005 
00002715.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.010 5 121 0 0 0 0.01 0.000215507620371595 76.2413113563175 59.052995845723 1995.81109934861 0.0814655946444064 0.0202002174843995 0.194926957605578 0.123310355769066 0.790050928644487 0.0962393443775609 1.63681396442349 1.63787638028731 1 9.13432472633322e-005 
00002715.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.020 5 120 0 0 0 0.02 0.000280478922472288 69.9004683337813 196.857546457348 1957.78416820668 0.0674263869946544 0.0223460753227503 0.189916204426982 0.117103351417169 0.794061582404295 0.0998317716131532 1.99383301784007 1.99460229165152 1 9.51003933996894e-005 
00002715.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.020 5 121 0 0 0 0.02 0.000272368101113804 70.4283255087613 197.850471140828 1960.9490483374 0.067998180415017 0.0220763360806497 0.190456595281634 0.117697140931765 0.793614948945923 0.0826059543187979 1.67233745872321 1.67391332664935 1 9.13432472633322e-005 
00002715.nii_R_ICA_labeled_d5_cp120_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.050 5 120 0 0 0 0.05 0.000376938046040933 62.8202471727487 437.362382992552 1915.32975333596 0.0598276931381467 0.0250567173963348 0.184164459406364 0.111982419171385 0.799017114429854 0.0672971672829504 1.34134985352924 1.34422855144776 1 9.51003933996894e-005 
00002715.nii_R_ICA_labeled_d5_cp121_lmd1d0.000_lmd2d0.000_lmd3d0.000_lmd4d0.050 5 121 0 0 0 0.05 0.000366884863844616 63.2915179499801 443.722852621584 1918.15457316152 0.0599607952033873 0.024774327709445 0.184658618837379 0.112267611445542 0.79856787940323 0.0694521121996785 1.39500604931563 1.39764034691059 1 9.13432472633322e-005 
